Yil,Tarih,Uydu,Gol_Alani_km2,Ortalama_NDVI,Ortalama_NDWI,Derinlik_Dogrusal_m,Derinlik_Karekok_m,Derinlik_Logaritmik_m,Derinlik_NDWI_m,Derinlik_NDVI_m,Tahmini_Derinlik_m,Hacim_Milyon_m3,Su_Piksel_Sayisi,Kombine_Piksel_Sayisi,Su_Durumu,Kombine_Durumu,Su_Seviye_Durumu
1984,1984-05-15,Landsat-5,0.4293,-0.01916,0.05864,7.49,7.42,6.51,6.37,0.46,6.28,2.696,477,477,Su Var,Var,Yüksek Seviye
1984,1984-09-20,Landsat-5,0.477,-0.03374,0.0647,8.33,7.82,6.8,6.75,0.81,6.72,3.205,530,530,Su Var,Var,Yüksek Seviye
1990,1990-05-16,Landsat-5,0.4779,-0.0263,0.06768,8.34,7.83,6.81,6.93,0.63,6.77,3.235,531,531,Su Var,Var,Yüksek Seviye
1990,1990-09-21,Landsat-5,0.5274,-0.0404,0.08195,9.21,8.23,7.08,7.74,0.97,7.36,3.882,586,586,Su Var,Var,Yüksek Seviye
1995,1995-05-14,Landsat-5,0.4104,-0.01761,0.05977,7.16,7.26,6.39,6.44,0.42,6.19,2.54,456,456,Su Var,Var,Yüksek Seviye
1995,1995-09-03,Landsat-5,0.4779,-0.03791,0.07989,8.34,7.83,6.81,7.63,0.91,7.04,3.364,531,531,Su Var,Var,Yüksek Seviye
2000,2000-05-19,Landsat-7,0.4626,-0.03095,0.0715,8.07,7.7,6.72,7.16,0.74,6.77,3.132,514,514,Su Var,Var,Yüksek Seviye
2000,2000-09-24,Landsat-7,0.4248,-0.02772,0.05155,7.41,7.38,6.48,5.88,0.67,6.1,2.591,472,472,Su Var,Var,Yüksek Seviye
2005,2005-06-10,Landsat-5,0.4437,-0.04549,0.08429,7.74,7.54,6.6,7.87,1.09,6.95,3.084,493,493,Su Var,Var,Yüksek Seviye
2005,2005-09-14,Landsat-5,0.4374,-0.08566,0.10967,7.63,7.49,6.56,9.11,2.06,7.44,3.254,486,486,Su Var,Var,Yüksek Seviye
2010,2010-04-05,Landsat-5,0.351,-0.11527,0.10851,6.13,6.71,5.97,9.06,2.77,6.98,2.45,390,390,Su Var,Var,Yüksek Seviye
2010,2010-09-28,Landsat-5,0.0117,-0.08339,0.02162,0.2,1.23,0.55,3.11,2.0,1.74,0.02,13,13,Su Var,Var,Kritik Seviye
2015,2015-05-21,Landsat-8,0.1089,-0.12387,0.06911,1.9,3.74,3.2,7.02,2.97,4.48,0.488,121,121,Su Var,Var,Düşük Seviye
2015,2015-09-10,Landsat-8,0.0,-0.01274,0.0,0.0,0.0,0.0,0.0,0.31,0.03,0.0,0,0,Su Yok,Yok,Kurumuş
2020,2020-05-18,Landsat-8,0.0144,-0.0918,0.01539,0.25,1.36,0.66,2.12,2.2,1.47,0.021,16,16,Su Var,Var,Kritik Seviye
2020,2020-09-23,Landsat-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Su Yok,Yok,Kurumuş
2023,2023-05-27,Landsat-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Su Yok,Yok,Kurumuş
2023,2023-09-16,Landsat-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Su Yok,Yok,Kurumuş
