Tarih,Uydu,Gol_Alani_km2,Ortalama_NDVI
1984-05-15,Landsat-5,0.4293,0.06022716168200155
1984-09-20,Landsat-5,0.477,0.02240492809556488
1990-05-16,Landsat-5,0.4779,0.0412361601946086
1990-09-21,Landsat-5,0.5274,0.02361863905359135
1995-05-14,Landsat-5,0.4104,0.0815509096288201
1995-09-03,Landsat-5,0.4779,0.03356461533163917
2000-05-19,Landsat-7,0.4626,0.04968971828100591
2000-09-24,Landsat-7,0.4248,0.02678377691482324
2005-06-10,Landsat-5,0.4437,0.04261980878528015
2005-09-14,Landsat-5,0.4374,0.014748994883735458
2010-04-05,Landsat-5,0.351,0.03992564046336768
2010-09-28,Landsat-5,0.0117,0.041755146730987014
2015-05-21,Landsat-8,0.1089,0.08760347979558224
2015-09-10,Landsat-8,0.0,0.06776316304213438
2020-05-18,Landsat-8,0.0144,0.09504293203913426
2020-09-23,Landsat-8,0.0,0.0743907702098703
2023-05-27,Landsat-8,0.0,0.0979641458900353
2023-09-16,Landsat-8,0.0,0.06974111202686387
