Yil,Tarih,Uydu,Su_NDWI_Min,Su_NDWI_Max,Su_NDWI_Ortalama,Su_Piksel_Sayisi,VejYok_NDVI_Min,VejYok_NDVI_Max,VejYok_NDVI_Ortalama,VejYok_Piksel_Sayisi,Kombine_NDWI_Min,Kombine_NDWI_Max,Kombine_NDWI_Ortalama,Kombine_NDVI_Min,Kombine_NDVI_Max,Kombine_NDVI_Ortalama,Kombine_Piksel_Sayisi,Su_Durumu,VejYok_Durumu,Kombine_Durumu
1984,1984-05-15,Landsat-5,0.00005,0.08563,0.05227,559,-0.04577,-0.00032,-0.01916,477,0.01991,0.08563,0.05864,-0.04577,-0.00032,-0.01916,477,Su Var,Var,Var
1984,1984-09-20,Landsat-5,0.00130,0.11159,0.06248,553,-0.07420,-0.00005,-0.03212,560,0.00130,0.11159,0.06470,-0.07420,-0.00005,-0.03374,530,Su Var,Var,Var
1990,1990-05-16,Landsat-5,0.00009,0.10106,0.06256,590,-0.06115,-0.00009,-0.02587,541,0.00009,0.10106,0.06768,-0.06115,-0.00101,-0.02630,531,Su Var,Var,Var
1990,1990-09-21,Landsat-5,0.00360,0.14021,0.07937,609,-0.10489,-0.00014,-0.03833,622,0.00360,0.14021,0.08195,-0.10489,-0.00014,-0.04040,586,Su Var,Var,Var
1995,1995-05-14,Landsat-5,0.00019,0.11584,0.05406,534,-0.04933,-0.00042,-0.01761,456,0.00696,0.11584,0.05977,-0.04933,-0.00042,-0.01761,456,Su Var,Var,Var
1995,1995-09-03,Landsat-5,0.00102,0.13417,0.07479,574,-0.08818,-0.00010,-0.03764,535,0.00312,0.13417,0.07989,-0.08818,-0.00010,-0.03791,531,Su Var,Var,Var
2000,2000-05-19,Landsat-7,0.00016,0.11481,0.06750,555,-0.06744,-0.00042,-0.03073,518,0.00280,0.11481,0.07150,-0.06744,-0.00042,-0.03095,514,Su Var,Var,Var
2000,2000-09-24,Landsat-7,0.00019,0.08180,0.04918,500,-0.05859,-0.00064,-0.02622,504,0.00083,0.08180,0.05155,-0.05859,-0.00070,-0.02772,472,Su Var,Var,Var
2005,2005-06-10,Landsat-5,0.00045,0.13504,0.07972,526,-0.08917,-0.00051,-0.04532,495,0.00685,0.13504,0.08429,-0.08917,-0.00051,-0.04549,493,Su Var,Var,Var
2005,2005-09-14,Landsat-5,0.00007,0.22305,0.10805,494,-0.20205,-0.00013,-0.07651,548,0.00112,0.22305,0.10967,-0.20205,-0.00075,-0.08566,486,Su Var,Var,Var
2010,2010-04-05,Landsat-5,0.00035,0.17900,0.10851,390,-0.20630,-0.00025,-0.10480,435,0.00035,0.17900,0.10851,-0.20630,-0.00385,-0.11527,390,Su Var,Var,Var
2010,2010-09-28,Landsat-5,0.00087,0.05065,0.02162,13,-0.11990,-0.00143,-0.04465,38,0.00087,0.05065,0.02162,-0.11990,-0.04886,-0.08339,13,Su Var,Var,Var
2015,2015-05-21,Landsat-8,0.00224,0.15178,0.06911,121,-0.23913,-0.00250,-0.09513,172,0.00224,0.15178,0.06911,-0.23913,-0.02105,-0.12387,121,Su Var,Var,Var
2015,2015-09-10,Landsat-8,,,,0,-0.03218,-0.00022,-0.01274,22,,,,,,,0,Su Yok,Var,Yok
2020,2020-05-18,Landsat-8,0.00719,0.02467,0.01539,16,-0.10443,-0.00348,-0.06159,34,0.00719,0.02467,0.01539,-0.10443,-0.07475,-0.09180,16,Su Var,Var,Var
2020,2020-09-23,Landsat-8,,,,0,,,,0,,,,,,,0,Su Yok,Yok,Yok
2023,2023-05-27,Landsat-8,,,,0,,,,0,,,,,,,0,Su Yok,Yok,Yok
2023,2023-09-16,Landsat-8,,,,0,,,,0,,,,,,,0,Su Yok,Yok,Yok
